,pKa
1xd1/1xd1_cplx.pdb, 7.92
3zzf/3zzf_cplx.pdb, 0.40
3gww/3gww_cplx.pdb, 0.45
1w8l/1w8l_cplx.pdb, 0.49
3fqa/3fqa_cplx.pdb, 0.49
1zsb/1zsb_cplx.pdb, 0.60
4obv/4obv_cplx.pdb, 0.75
1wkm/1wkm_cplx.pdb, 0.82
3k41/3k41_cplx.pdb, 0.82
4eu3/4eu3_cplx.pdb, 0.82
2w97/2w97_cplx.pdb, 0.96
1p0y/1p0y_cplx.pdb, 1.00
2b1r/2b1r_cplx.pdb, 1.00
2d2v/2d2v_cplx.pdb, 1.00
1aw1/1aw1_cplx.pdb, 1.05
1maw/1maw_cplx.pdb, 1.10
3fl9/3fl9_cplx.pdb, 1.11
5eb2/5eb2_cplx.pdb, 1.11
4lh2/4lh2_cplx.pdb, 1.24
4to8/4to8_cplx.pdb, 1.24
4fci/4fci_cplx.pdb, 1.26
4fck/4fck_cplx.pdb, 1.26
4clp/4clp_cplx.pdb, 1.27
1f9g/1f9g_cplx.pdb, 1.28
1a0t/1a0t_cplx.pdb, 1.30
1b74/1b74_cplx.pdb, 1.30
2fah/2fah_cplx.pdb, 1.30
5oxm/5oxm_cplx.pdb, 1.30
2igw/2igw_cplx.pdb, 1.31
5mnc/5mnc_cplx.pdb, 1.31
5mny/5mny_cplx.pdb, 1.31
5moo/5moo_cplx.pdb, 1.31
2vl1/2vl1_cplx.pdb, 1.35
3nm6/3nm6_cplx.pdb, 1.35
1qpb/1qpb_cplx.pdb, 1.36
1hty/1hty_cplx.pdb, 1.40
1o4l/1o4l_cplx.pdb, 1.40
1o4m/1o4m_cplx.pdb, 1.40
1o4n/1o4n_cplx.pdb, 1.40
2hdq/2hdq_cplx.pdb, 1.40
3eor/3eor_cplx.pdb, 1.40
3e81/3e81_cplx.pdb, 1.43
1ozv/1ozv_cplx.pdb, 1.44
1utp/1utp_cplx.pdb, 1.44
5eb3/5eb3_cplx.pdb, 1.45
1tnk/1tnk_cplx.pdb, 1.49
4bh4/4bh4_cplx.pdb, 1.49
5vqe/5vqe_cplx.pdb, 1.49
4lh3/4lh3_cplx.pdb, 1.52
5ct1/5ct1_cplx.pdb, 1.52
5ele/5ele_cplx.pdb, 1.52
3mwe/3mwe_cplx.pdb, 1.54
4amw/4amw_cplx.pdb, 1.55
1iig/1iig_cplx.pdb, 1.57
3rup/3rup_cplx.pdb, 1.57
5cs5/5cs5_cplx.pdb, 1.58
5ofv/5ofv_cplx.pdb, 1.58
2b1q/2b1q_cplx.pdb, 1.59
1w8m/1w8m_cplx.pdb, 1.60
3itc/3itc_cplx.pdb, 1.60
2it4/2it4_cplx.pdb, 1.62
1a7t/1a7t_cplx.pdb, 1.64
4d63/4d63_cplx.pdb, 1.64
1hgj/1hgj_cplx.pdb, 1.66
1rdj/1rdj_cplx.pdb, 1.66
2o9r/2o9r_cplx.pdb, 1.68
4qsw/4qsw_cplx.pdb, 1.68
1d2v/1d2v_cplx.pdb, 1.70
1jou/1jou_cplx.pdb, 1.70
2sfp/2sfp_cplx.pdb, 1.70
3gf2/3gf2_cplx.pdb, 1.70
3oay/3oay_cplx.pdb, 1.70
4tyb/4tyb_cplx.pdb, 1.70
6cex/6cex_cplx.pdb, 1.70
6cf5/6cf5_cplx.pdb, 1.70
3g6m/3g6m_cplx.pdb, 1.71
2hdr/2hdr_cplx.pdb, 1.72
3ern/3ern_cplx.pdb, 1.72
3vzg/3vzg_cplx.pdb, 1.72
3zst/3zst_cplx.pdb, 1.72
5y61/5y61_cplx.pdb, 1.72
1u2y/1u2y_cplx.pdb, 1.74
